"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"143","K.J. Osborn (WAS)","7","18","57","8.1","22","1","1","0","0","0","0","7","11.7","1.7","2.6%"
"144","Tay Martin (WAS)","1","2","49","49.0","49","1","1","0","0","0","0","1","10.9","10.9","0.0%"
"145","Ainias Smith (PHI)","7","9","41","5.9","15","0","1","2","6","0","0","7","10.7","1.5","0.6%"
"146","Jermaine Burton (CIN)","4","14","107","26.8","47","2","0","0","0","0","0","14","10.7","0.8","1.9%"
"147","Simi Fehoko (ARI)","6","16","106","17.7","30","2","0","0","0","0","0","6","10.6","1.8","1.0%"
"148","Mason Tipton (NO)","14","26","99","7.1","15","0","0","0","0","0","0","11","9.9","0.9","0.7%"
"149","Johnny Wilson (PHI)","5","15","38","7.6","9","0","1","0","0","0","0","16","9.8","0.6","0.6%"
"150","Bryce Oliver (TEN)","6","9","95","15.8","33","1","0","0","0","0","0","10","9.5","1.0","0.0%"
"151","Marquise Brown (KC)","9","15","91","10.1","20","1","0","0","0","0","0","2","9.1","4.6","30.5%"
"152","DJ Chark Jr. (FA)","4","10","31","7.8","12","0","1","0","0","0","0","4","9.1","2.3","0.7%"
"153","Parris Campbell (FA)","6","8","30","5.0","7","0","1","0","0","0","0","4","9.0","2.3","0.1%"
"154","Zay Jones (ARI)","8","11","84","10.5","25","1","0","0","0","0","0","11","8.4","0.8","0.6%"
"155","Xavier Gipson (NYJ)","6","10","39","6.5","17","0","1","1","5","0","1","17","8.4","0.5","0.6%"
"156","Ryan Flournoy (DAL)","10","14","102","10.2","26","1","0","0","0","0","1","11","8.2","0.7","0.7%"
"157","Devin Duvernay (CHI)","11","16","79","7.2","28","1","0","4","3","0","0","13","8.2","0.6","0.6%"
"158","Devontez Walker (BAL)","1","3","21","21.0","21","1","1","0","0","0","0","7","8.1","1.2","0.6%"
"159","Kristian Wilkerson (BUF)","2","3","18","9.0","9","0","1","0","0","0","0","1","7.8","7.8","1.0%"
"160","Jalen Reagor (LAC)","7","12","100","14.3","41","2","0","3","-3","0","1","8","7.7","1.0","0.0%"
"161","Chris Conley (FA)","6","12","76","12.7","23","2","0","0","0","0","0","9","7.6","0.8","0.0%"
"162","Brandon Powell (FA)","7","10","71","10.1","13","0","0","0","0","0","0","17","7.1","0.4","1.4%"
"163","Ben Skowronek (PIT)","5","5","69","13.8","23","1","0","0","0","0","0","10","6.9","0.7","0.0%"
"164","Scotty Miller (PIT)","5","9","69","13.8","21","2","0","0","0","0","0","13","6.9","0.5","0.1%"
"165","Jacob Cowing (SF)","4","6","80","20.0","41","1","0","1","7","0","1","15","6.7","0.4","0.6%"
"166","River Cracraft (WAS)","7","9","66","9.4","16","0","0","0","0","0","0","5","6.6","1.3","0.0%"
"167","Michael Woods II (FA)","7","17","65","9.3","16","0","0","0","0","0","0","5","6.5","1.3","0.0%"
"168","Jalin Hyatt (NYG)","8","19","62","7.8","19","0","0","0","0","0","0","16","6.2","0.4","1.0%"
"169","Ihmir Smith-Marsette (NYG)","0","0","0","0","0","0","0","0","0","0","0","15","6.0","0.4","0.6%"
"170","Laviska Shenault Jr. (BUF)","5","5","36","7.2","18","0","0","1","1","0","2","10","5.7","0.6","0.1%"
"171","Odell Beckham Jr. (FA)","9","18","55","6.1","11","0","0","0","0","0","0","8","5.5","0.7","1.1%"
"172","DeAndre Carter (CLE)","9","14","72","8.0","14","0","0","0","0","0","1","13","5.2","0.4","0.0%"
"173","Nikko Remigio (KC)","2","6","48","24.0","25","2","0","0","0","0","0","5","4.8","1.0","0.6%"
"174","Tyquan Thornton (KC)","4","8","47","11.8","17","0","0","0","0","0","0","4","4.7","1.2","0.6%"
"175","Charlie Jones (CIN)","1","1","5","5.0","5","0","0","0","0","0","1","8","4.5","0.6","0.6%"
"176","Dee Eskridge (MIA)","3","3","44","14.7","30","1","0","0","0","0","0","6","4.4","0.7","0.0%"
"177","Cody White (SEA)","2","3","44","22.0","28","1","0","0","0","0","0","4","4.4","1.1","0.0%"
"178","Xavier Smith (LAR)","2","2","6","3.0","11","0","0","4","36","0","0","15","4.2","0.3","1.0%"
"179","Tim Jones (MIN)","3","5","41","13.7","20","1","0","0","0","0","0","8","4.1","0.5","0.0%"
"180","Terrace Marshall Jr. (PHI)","3","6","41","13.7","28","1","0","0","0","0","0","5","4.1","0.8","0.6%"
"181","Dan Chisena (FA)","3","4","37","12.3","23","1","0","0","0","0","0","6","3.7","0.6","0.0%"
"182","Treylon Burks (TEN)","4","8","34","8.5","13","0","0","2","1","0","0","5","3.5","0.7","0.6%"
"183","Britain Covey (LAR)","7","8","34","4.9","11","0","0","0","0","0","0","5","3.4","0.7","0.0%"
"184","Alex Bachman (LV)","3","3","31","10.3","18","0","0","0","0","0","0","5","3.1","0.6","0.0%"
"185","Allen Robinson II (FA)","3","7","30","10.0","21","1","0","0","0","0","0","6","3.0","0.5","1.4%"
"186","Deven Thompkins (FA)","4","4","20","5.0","12","0","0","2","7","0","0","5","2.7","0.5","0.0%"
"187","David Bell (CLE)","3","3","27","9.0","12","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"188","Anthony Gould (IND)","1","1","23","23.0","23","1","0","0","0","0","0","8","2.3","0.3","1.0%"
"189","Ronnie Bell (DET)","2","6","22","11.0","12","0","0","0","0","0","0","4","2.2","0.6","0.0%"
